市町村コード,都道府県名及び市町村名,NO,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
43100,熊本県熊本市,78,出水南中学校,熊本県熊本市中央区出水7-86-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.775036,130.728094,
43100,熊本県熊本市,79,熊本工業高校,熊本県熊本市中央区上京塚町5-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.792407,130.747132,
43100,熊本県熊本市,80,家族葬のファミーユ（上水前寺ホール）,熊本県熊本市中央区上水前寺2-23-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.793898,130.745116,
43100,熊本県熊本市,81,家族葬のファミーユ（藤崎宮前ホール）,熊本県熊本市中央区上林町3-26-1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.80839,130.7117,
43100,熊本県熊本市,82,白川小学校,熊本県熊本市中央区新屋敷1-7-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.802677,130.716847,
43100,熊本県熊本市,83,熊本高校,熊本県熊本市中央区新大江1-8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.799883,130.729586,
43100,熊本県熊本市,84,ゆめマート熊本新町,熊本県熊本市中央区新町2-12-21,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.798113,130.6974,
43100,熊本県熊本市,85,一新小学校,熊本県熊本市中央区新町3-10-45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.80239,130.69506,
43100,熊本県熊本市,86,砂取小学校,熊本県熊本市中央区神水1-1-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.787241,130.738785,
43100,熊本県熊本市,87,熊本商業高校,熊本県熊本市中央区神水1-1-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.786891,130.740052,
43100,熊本県熊本市,88,ゆめマート水前寺駅,熊本県熊本市中央区水前寺1-4-8,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.796253,130.729416,
43100,熊本県熊本市,89,水前寺運動公園,熊本県熊本市中央区水前寺5-23,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.794474,130.740412,
43100,熊本県熊本市,90,熊本武道館,熊本県熊本市中央区水前寺5-23-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.793151,130.738984,
43100,熊本県熊本市,91,水前寺競技場,熊本県熊本市中央区水前寺5-23-3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.794521,130.740595,
43100,熊本県熊本市,92,水前寺江津湖公園（水前寺地区）,熊本県熊本市中央区水前寺公園12,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.79007463,130.7347405,
43100,熊本県熊本市,93,白山小学校,熊本県熊本市中央区菅原町9-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.790061,130.719695,
43100,熊本県熊本市,94,家族葬のファミーユ（世安ホール）,熊本県熊本市中央区世安町2-1-27,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.784299,130.697596,
43100,熊本県熊本市,95,城東小学校,熊本県熊本市中央区千葉城町5-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.808347,130.709322,
43100,熊本県熊本市,96,藤園中学校,熊本県熊本市中央区千葉城町5-2,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.808708,130.708212,
